brand, product_price, product_name, shipping_price
ZOTAC,2999.99,ZOTAC GAMING GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card| IceStorm 2.0 Advanced Cooling| SPECTRA 2.0 RGB Lighting| ZT-A30900J-10P,0
NVIDIA,1270,NVIDIA GeForce RTX 2070 Super Founders Edition Graphics Card,0
MSI,1089,MSI Ventus GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 Ventus 2X 8G OC LHR,0
ASUS,1009,ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card| OC Edition TUF-RTX3060-O12G-V2-GAMING LHR,9.53
ASUS,978,ASUS DUAL GeForce RTX 3060 Ti V2 MINI 8GB GDDR6 Video Card with LHR| DUAL-RTX3060TI-8G-MINI-V2,10.76
XFX,1799.99,XFX Speedster ZERO AMD Radeon RX 6900 XT EKWB RGB Waterblock Limited Edition RGB Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 - RX-69XTAWBD9,0
DELL,60.49,Dell Optiplex 740 750 3010 3020 7010 7020 9010 9020 SFF GT 610 1GB PCI Express 2.0 x16 DVI+HDMI Single Slot Low Profile Video Graphics Card,0
GIGABYTE,709,GIGABYTE Radeon RX 6600 XT EAGLE 8G WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6|  GV-R66XTGAMINGOC PRO-8GD Video Card Non-LNR| No locking Desktop Graphics Cards,10
NULL,139.99,LISM GTX750Ti 2GB 128Bit GDDR5 Graphic Card Video Card GPU DirectX 12 PCI Express2.0 x16 DVI/VGA/HDMI,0
GIGABYTE,625.26,GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TOC-6GD Video Card,0
ASRock,1399.99,ASRock Radeon RX 6800 XT Phantom Gaming D Gaming Graphics Card with 16GB GDDR6| AMD RDNA 2 (RX6800XT PGD 16GO),9.99
ASUS,99.79,ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G),49.99
ASUS,634.11,ASUS Dual GeForce RTX 2060 Advanced OC EVO Graphics Card 6GB 192-Bit GDDR6 PCIe 3.0 x16 DirectX 12 HDCP Ready Auto-Extreme Technology 1x DVI-D 2X HDMI 2.0b 1x DisplayPort 1.4|(DUAL-RTX2060-O6G-EVO),49.99
yeston,1099,Yeston Radeon RX6700XT 12GB D6 GDDR6 192bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible   RGB light effect Fragrant graphics card,0
GIGABYTE,869.99,GIGABYTE GeForce RTX 3060 GAMING OC 12G Graphics Card| 3 x WINDFORCE Fans| 12GB 192-bit GDDR6| GV-N3060GAMING OC-12GD Video Card,0
NULL,699.99,GIGABYTE Geforce RTX 2060 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR| GV-N2060D6-6GD Video Card,0
NULL,209.99,LISM GeForce GTX780Ti 4GB GDDR5 256bit/ PCI Express 2.0 x12 Standard ATX Video Card HDMI+DVI+DP(limited edition),0
GIGABYTE,1019.99,GIGABYTE AORUS Radeon RX 6700 XT ELITE 12G Graphics Card| WINDFORCE 3X Cooling System| 12GB 192-bit GDDR6| GV-R67XTAORUS E-12GD Video Card,0
yeston,319,Yeston Nvidia GeForce GTX 1050 Ti Graphics Card  4GB 128-Bit GDDR5 PCI Express 3.0 x16 | DVI-D/HDMI/DP Tri-Ports| G-Sync| GPU Boost| DirectX 12| Gaming GPU| Desktop Video Card,0
GIGABYTE,695,GIGABYTE Geforce RTX 2060 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD Video Card,0
GIGABYTE,2189,GIGABYTE  GV-N3080TEAGLE-12GD RTX 3080Ti 12G Video Card  PCI Express 4.0 Nvidia Graphics Card  GPU Video Cards for Desktop Graphics Cards,4.86
yeston,199,Yeston Radeon RX550 4GB GDDR5 1183MHz 512processors PCIExpress 3.0 DirectX12 Single Slot 4*HDMI compatible graphics card of Desktop,0
yeston,599,Yeston GeForce GTX 1660 Ti-6G  GDDR6  6GB 192Bit  Graphics cards Nvidia pci express x16 3.0 Desktop computer PC video gaming graphics card,0
yeston,649,Yeston Radeon RX6600XT 8GB D6 GDDR6 128bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible  graphics card,0
MSI,959.92,MSI Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti Gaming X 8G LHR,49.99
NVIDIA,37.72,Dell NVIDIA Quadro K600 1GB GDDR3 128-Bit PCI-Express x16 Workstation Video Graphic Card V5WK5 0V5WK5,0
GIGABYTE,615.99,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,0
GIGABYTE,380.88,GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,0
yeston,649,Yeston Radeon RX6600XT 8GB D6 GDDR6 128bit 7nm Desktop computer PC Video Graphics Cards support PCI-Express 4.0 3*DP+1*HDMI-compatible  graphics card,0
MSI,1197.99,MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 GAMING Z TRIO 8G LHR,0
AMD,199,AMD FirePro V7900 2GB 4XDP  PCIe HF Graphic Card,0
